Manga Title,Score,Ranking,Type/Volume Count,Publication,Members,Link
Berserk,9.47,['1'],Manga (? vols),Aug 1989 -,"652,648 members",https://myanimelist.net/manga/2/Berserk
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.30,['2'],Manga (24 vols),Jan 2004 - Apr 2011,"251,802 members",https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run
Vagabond,9.24,['3'],Manga (37 vols),Sep 1998 - May 2015,"356,324 members",https://myanimelist.net/manga/656/Vagabond
One Piece,9.22,['4'],Manga (? vols),Jul 1997 -,"588,427 members",https://myanimelist.net/manga/13/One_Piece
Monster,9.15,['5'],Manga (18 vols),Dec 1994 - Dec 2001,"231,526 members",https://myanimelist.net/manga/1/Monster
Slam Dunk,9.08,['6'],Manga (31 vols),Sep 1990 - Jun 1996,"160,572 members",https://myanimelist.net/manga/51/Slam_Dunk
Vinland Saga,9.05,['7'],Manga (? vols),Apr 2005 -,"286,879 members",https://myanimelist.net/manga/642/Vinland_Saga
Fullmetal Alchemist,9.03,['8'],Manga (27 vols),Jul 2001 - Sep 2010,"285,811 members",https://myanimelist.net/manga/25/Fullmetal_Alchemist
Grand Blue,9.03,['9'],Manga (? vols),Apr 2014 -,"169,316 members",https://myanimelist.net/manga/70345/Grand_Blue
Oyasumi Punpun,9.02,['10'],Manga (13 vols),Mar 2007 - Nov 2013,"419,203 members",https://myanimelist.net/manga/4632/Oyasumi_Punpun
Kingdom,9.00,['11'],Manga (? vols),Jan 2006 -,"162,992 members",https://myanimelist.net/manga/16765/Kingdom
Houseki no Kuni,8.96,['12'],Manga (? vols),Oct 2012 -,"120,535 members",https://myanimelist.net/manga/44489/Houseki_no_Kuni
20th Century Boys,8.95,['13'],Manga (22 vols),Sep 1999 - Apr 2006,"240,567 members",https://myanimelist.net/manga/3/20th_Century_Boys
Ashita no Joe,8.94,['14'],Manga (20 vols),Jan 1968 - May 1973,"49,358 members",https://myanimelist.net/manga/1303/Ashita_no_Joe
Real,8.93,['15'],Manga (? vols),Oct 1999 -,"81,710 members",https://myanimelist.net/manga/657/Real
Monogatari Series: First Season,8.93,['16'],Light Novel (6 vols),Nov 2006 - Jul 2010,"57,007 members",https://myanimelist.net/manga/14893/Monogatari_Series__First_Season
Mikkakan no Koufuku,8.93,['17'],Novel (1 vols),Dec 2013 - Dec 2013,"25,800 members",https://myanimelist.net/manga/126479/Mikkakan_no_Koufuku
